IMDB ID,Title,Budget,Revenue,Year
tt2018086,Camille Claudel 1915,3512454,115860.0,2013
tt0318081,A Sound of Thunder,80000000,5989640.0,2005
tt0366627,The Jacket,29000000,21126225.0,2005
tt0373926,The Interpreter,80000000,162944923.0,2005
tt0377109,The Ring Two,50000000,161451538.0,2005
tt0405296,A Scanner Darkly,8700000,7659918.0,2006
tt0367594,Charlie and the Chocolate Factory,150000000,474968763.0,2005
tt0375210,White Noise,10000000,91196419.0,2005
tt0357277,Elektra,43000000,56681566.0,2005
tt0376105,Racing Stripes,30000000,93772522.0,2005
tt0393162,Coach Carter,30000000,76669806.0,2005
tt0398712,Assault on Precinct 13,30000000,35294470.0,2005
tt0368578,Are We There Yet?,32000000,97918663.0,2005
tt0369226,Alone in the Dark,20000000,10442808.0,2005
tt0382077,Hide and Seek,25000000,122644820.0,2005
tt0357507,Boogeyman,20000000,67192859.0,2005
tt0372532,The Wedding Date,15000000,47175038.0,2005
tt0386588,Hitch,70000000,368100420.0,2005
tt0418753,Inside Deep Throat,2000000,653621.0,2005
tt0360486,Constantine,100000000,230884728.0,2005
tt0317132,Because of Winn-Dixie,14000000,32645546.0,2005
tt0257516,Cursed,35000000,19294901.0,2005
tt0395699,The Pacifier,56000000,113006880.0,2005
tt0377471,Be Cool,53000000,95226116.0,2005
tt0340163,Hostage,52000000,77944725.0,2005
tt0358082,Robots,75000000,260696994.0,2005
tt0396652,Ice Princess,25000000,27645491.0,2005
tt0372237,Guess Who,35000000,68915888.0,2005
tt0357110,The Ballad of Jack and Rose,1500000,712294.0,2005
tt0401792,Sin City,40000000,158733820.0,2005
tt0388500,Beauty Shop,25000000,36351350.0,2005
tt0318649,Sahara,130000000,119269486.0,2005
tt0332047,Fever Pitch,30000000,50451307.0,2005
tt0371724,The Hitchhiker's Guide to the Galaxy,50000000,104478416.0,2005
tt0384806,The Amityville Horror,19000000,108047131.0,2005
tt0391304,A Lot Like Love,30000000,42886719.0,2005
tt0329774,xXx: State of the Union,60000000,71073932.0,2005
tt0320661,Kingdom of Heaven,130000000,211643158.0,2005
tt0397065,House of Wax,40000000,68766121.0,2005
tt0342258,Unleashed,45000000,50871113.0,2005
tt0121766,Star Wars: Episode III - Revenge of the Sith,113000000,850000000.0,2005
tt0384642,Kicking & Screaming,45000000,56070433.0,2005
tt0369735,Monster-in-Law,43000000,154749918.0,2005
tt0351283,Madagascar,75000000,532680671.0,2005
tt0449086,Dominion: Prequel to the Exorcist,30000000,251495.0,2005
tt0398165,The Longest Yard,82000000,190320568.0,2005
tt0352248,Cinderella Man,88000000,108539911.0,2005
tt0403508,The Sisterhood of the Traveling Pants,25000000,39053061.0,2005
tt0355702,Lords of Dogtown,25000000,13411957.0,2005
tt0356910,Mr. & Mrs. Smith,110000000,478207520.0,2005
tt0424774,The Adventures of Sharkboy and Lavagirl,50000000,69425966.0,2005
tt0372784,Batman Begins,150000000,374218673.0,2005
tt0400497,Herbie Fully Loaded,50000000,66002004.0,2005
tt0418819,Land of the Dead,15000000,46770602.0,2005
tt0374536,Bewitched,85000000,131426169.0,2005
tt0407304,War of the Worlds,132000000,591739379.0,2005
tt0428803,La Marche de l'empereur,8000000,127392239.0,2005
tt0376108,Rebound,45000000,16809014.0,2005
tt0382628,Dark Water,30000000,25473093.0,2005
tt0120667,Fantastic Four,100000000,330579719.0,2005
tt0436613,Murderball,300000,1750211.0,2005
tt0396269,Wedding Crashers,40000000,285176741.0,2005
tt0409184,Les Poupées Russes,13000000,23727301.0,2005
tt0410097,Hustle & Flow,8000000,23563727.0,2005
tt0399201,The Island,126000000,162949164.0,2005
tt0408524,Bad News Bears,30000000,34252847.0,2005
tt0405325,Sky High,35000000,86369815.0,2005
tt0382992,Stealth,135000000,76932943.0,2005
tt0417001,Must Love Dogs,30000000,58405313.0,2005
tt0379786,Serenity,39000000,38869464.0,2005
tt0412019,Broken Flowers,10000000,45742101.0,2005
tt0290747,Man-Thing,7500000,143000.0,2005
tt0377818,The Dukes of Hazzard,50000000,110803676.0,2005
tt0367652,Deuce Bigalow: European Gigolo,22000000,22400154.0,2005
tt0397101,The Skeleton Key,43000000,91974818.0,2005
tt0430105,Four Brothers,45000000,92374674.0,2005
tt0326905,The Great Raid,80000000,10166502.0,2005
tt0405422,The 40 Year Old Virgin,26000000,109449237.0,2005
tt0421239,Red Eye,26000000,57891803.0,2005
tt0361089,Valiant,35000000,19478106.0,2005
tt0355295,The Brothers Grimm,88000000,105316267.0,2005
tt0402901,The Cave,30000000,15007991.0,2005
tt0434424,Undiscovered,9000000,1046166.0,2005
tt0387131,The Constant Gardener,25000000,82466670.0,2005
tt0388482,Transporter 2,32000000,85167639.0,2005
tt0425123,Just Like Heaven,58000000,102854431.0,2005
tt0377107,Proof,20000000,7535331.0,2005
tt0399295,Lord of War,42000000,24127895.0,2005
tt0384286,Cry_Wolf,1000000,10047674.0,2005
tt0404030,Everything is Illuminated,7000000,2697930.0,2005
tt0419706,Doom,60000000,55987321.0,2005
tt0421054,Domino,50000000,22944502.0,2005
tt0348333,Waiting...,3000000,18637690.0,2005
tt0402022,Æon Flux,62000000,52304001.0,2005
tt0350261,An Unfinished Life,30000000,18618284.0,2005
tt0404032,The Exorcism of Emily Rose,19000000,144216468.0,2005
tt0408790,Flightplan,55000000,223387299.0,2005
tt0121164,Corpse Bride,40000000,117195061.0,2005
tt0399146,A History of Violence,32000000,60740827.0,2005
tt0380599,Oliver Twist,50000000,42093706.0,2005
tt0388980,The Greatest Game Ever Played,25000000,15431177.0,2005
tt0379725,Capote,7000000,49084830.0,2005
tt0378109,Into the Blue,50000000,44434439.0,2005
tt0366780,Mirrormask,4000000,866999.0,2005
tt0312004,The Curse of the Were-Rabbit,30000000,192452832.0,2005
tt0373469,Kiss Kiss Bang Bang,15000000,15785148.0,2005
tt0380389,Goal!: The Dream Begins,30000000,27610873.0,2005
tt0367089,The Squid and the Whale,1500000,11098131.0,2005
tt0417217,Two for the Money,35000000,30526509.0,2005
tt0388795,Brokeback Mountain,14000000,178043761.0,2005
tt0368709,Elizabethtown,57000000,52034889.0,2005
tt0395972,North Country,35000000,25224242.0,2005
tt0433383,"Good Night, and Good Luck.",7000000,54600000.0,2005
tt0421238,The Proposition,2000000,5048693.0,2005
tt0432291,The Fog,18000000,46201432.0,2005
tt0338427,Shopgirl,10284523,11588205.0,2005
tt0371257,Stay,50000000,8342132.0,2005
tt0386140,The Legend of Zorro,75000000,142400065.0,2005
tt0384680,The Weather Man,20000000,12482775.0,2005
tt0432348,Saw II,4000000,152925093.0,2005
