Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID,Budget,Revenue
Camille Claudel 1915,2013,6.5,3889.0,"Biography, Drama","$35,296",tt2018086,3512454,115860.0
A Sound of Thunder,2005,4.2,20549.0,"Action, Adventure, Horror","$1,900,451",tt0318081,80000000,5989640.0
The Jacket,2005,7.1,119641.0,"Drama, Fantasy, Mystery","$6,303,762",tt0366627,29000000,21126225.0
The Interpreter,2005,6.4,111280.0,"Crime, Mystery, Thriller","$72,708,161",tt0373926,80000000,162944923.0
The Ring Two,2005,5.4,101457.0,"Horror, Mystery","$76,231,249",tt0377109,50000000,161451538.0
A Scanner Darkly,2006,7.0,117810.0,"Animation, Comedy, Crime","$5,501,616",tt0405296,8700000,7659918.0
Charlie and the Chocolate Factory,2005,6.7,533360.0,"Adventure, Comedy, Family","$206,459,076",tt0367594,150000000,474968763.0
White Noise,2005,5.5,50974.0,"Drama, Horror, Mystery","$56,386,759",tt0375210,10000000,91196419.0
Elektra,2005,4.7,98572.0,"Action, Adventure, Crime","$24,409,722",tt0357277,43000000,56681566.0
Racing Stripes,2005,5.2,18296.0,"Adventure, Comedy, Drama","$49,772,522",tt0376105,30000000,93772522.0
Coach Carter,2005,7.3,173672.0,"Biography, Drama, Sport","$67,264,877",tt0393162,30000000,76669806.0
Assault on Precinct 13,2005,6.3,82100.0,"Action, Crime, Drama","$20,040,895",tt0398712,30000000,35294470.0
Are We There Yet?,2005,4.8,34723.0,"Adventure, Comedy, Family","$82,674,398",tt0368578,32000000,97918663.0
Alone in the Dark,2005,2.4,47103.0,"Action, Horror, Sci-Fi","$5,178,569",tt0369226,20000000,10442808.0
Hide and Seek,2005,5.9,89296.0,"Horror, Mystery","$51,100,486",tt0382077,25000000,122644820.0
Boogeyman,2005,4.2,32715.0,"Drama, Horror, Mystery","$46,752,382",tt0357507,20000000,67192859.0
The Wedding Date,2005,6.1,56505.0,"Comedy, Romance","$31,726,995",tt0372532,15000000,47175038.0
Hitch,2005,6.6,336915.0,"Comedy, Romance","$179,495,555",tt0386588,70000000,368100420.0
Inside Deep Throat,2005,6.7,7051.0,"Documentary, Biography, History","$691,880",tt0418753,2000000,653621.0
Constantine,2005,7.0,376534.0,"Action, Fantasy, Horror","$75,976,178",tt0360486,100000000,230884728.0
Because of Winn-Dixie,2005,6.4,12760.0,"Comedy, Drama, Family","$32,647,042",tt0317132,14000000,32645546.0
Cursed,2005,5.0,35112.0,"Comedy, Horror","$19,297,522",tt0257516,35000000,19294901.0
The Pacifier,2005,5.6,101598.0,"Action, Comedy, Drama","$113,086,868",tt0395699,56000000,113006880.0
Be Cool,2005,5.6,72393.0,"Comedy, Crime, Music","$56,046,979",tt0377471,53000000,95226116.0
Hostage,2005,6.5,113779.0,"Action, Crime, Drama","$34,639,939",tt0340163,52000000,77944725.0
Robots,2005,6.4,163305.0,"Animation, Adventure, Comedy","$128,200,012",tt0358082,75000000,260696994.0
Ice Princess,2005,6.0,29057.0,"Comedy, Drama, Family","$24,402,491",tt0396652,25000000,27645491.0
Guess Who,2005,5.9,45885.0,"Comedy, Romance","$68,915,888",tt0372237,35000000,68915888.0
The Ballad of Jack and Rose,2005,6.5,12198.0,Drama,"$712,275",tt0357110,1500000,712294.0
Sin City,2005,8.0,796178.0,"Crime, Thriller","$74,103,820",tt0401792,40000000,158733820.0
Beauty Shop,2005,5.6,18772.0,Comedy,"$36,351,350",tt0388500,25000000,36351350.0
Sahara,2005,6.1,104281.0,"Action, Adventure, Comedy","$68,671,925",tt0318649,130000000,119269486.0
Fever Pitch,2005,6.2,47915.0,"Comedy, Drama, Romance","$42,071,069",tt0332047,30000000,50451307.0
The Hitchhiker's Guide to the Galaxy,2005,6.7,209036.0,"Adventure, Comedy, Sci-Fi","$51,085,416",tt0371724,50000000,104478416.0
The Amityville Horror,2005,5.9,117742.0,Horror,"$65,233,369",tt0384806,19000000,108047131.0
A Lot Like Love,2005,6.6,71313.0,"Comedy, Drama, Romance","$21,845,719",tt0391304,30000000,42886719.0
xXx: State of the Union,2005,4.5,73900.0,"Action, Adventure, Crime","$26,873,932",tt0329774,60000000,71073932.0
Kingdom of Heaven,2005,7.3,318873.0,"Action, Adventure, Drama","$47,398,413",tt0320661,130000000,211643158.0
House of Wax,2005,5.5,135161.0,"Horror, Thriller","$32,064,800",tt0397065,40000000,68766121.0
Unleashed,2005,7.0,108386.0,"Action, Crime, Thriller","$24,537,621",tt0342258,45000000,50871113.0
Star Wars: Episode III - Revenge of the Sith,2005,7.6,851789.0,"Action, Adventure, Fantasy","$380,270,577",tt0121766,113000000,850000000.0
Kicking & Screaming,2005,5.6,41029.0,"Comedy, Family, Romance","$52,842,724",tt0384642,45000000,56070433.0
Monster-in-Law,2005,5.6,65981.0,"Comedy, Romance","$82,931,301",tt0369735,43000000,154749918.0
Madagascar,2005,6.9,441827.0,"Animation, Adventure, Comedy","$193,595,521",tt0351283,75000000,532680671.0
Dominion: Prequel to the Exorcist,2005,5.1,13747.0,"Drama, Horror, Thriller","$251,495",tt0449086,30000000,251495.0
The Longest Yard,2005,6.4,196081.0,"Comedy, Crime, Sport","$158,119,460",tt0398165,82000000,190320568.0
Cinderella Man,2005,8.0,199290.0,"Biography, Drama, Romance","$61,649,911",tt0352248,88000000,108539911.0
The Sisterhood of the Traveling Pants,2005,6.5,65340.0,"Comedy, Drama, Romance","$39,053,061",tt0403508,25000000,39053061.0
Lords of Dogtown,2005,7.1,58468.0,"Biography, Drama, Sport","$11,273,517",tt0355702,25000000,13411957.0
Mr. & Mrs. Smith,2005,6.5,547417.0,"Action, Comedy, Crime","$186,336,279",tt0356910,110000000,478207520.0
The Adventures of Sharkboy and Lavagirl 3-D,2005,3.8,42863.0,"Action, Adventure, Comedy","$39,177,684",tt0424774,50000000,69425966.0
Batman Begins,2005,8.2,1589713.0,"Action, Crime, Drama","$206,863,479",tt0372784,150000000,374218673.0
Herbie Fully Loaded,2005,4.9,51142.0,"Adventure, Comedy, Family","$66,023,816",tt0400497,50000000,66002004.0
Land of the Dead,2005,6.2,101138.0,"Horror, Sci-Fi, Thriller","$20,700,082",tt0418819,15000000,46770602.0
Bewitched,2005,4.8,75700.0,"Comedy, Fantasy, Romance","$63,313,159",tt0374536,85000000,131426169.0
War of the Worlds,2005,6.5,478376.0,"Action, Adventure, Sci-Fi","$234,280,354",tt0407304,132000000,591739379.0
March of the Penguins,2005,7.5,60289.0,"Documentary, Family","$77,437,223",tt0428803,8000000,127392239.0
Rebound,2005,5.1,13655.0,"Comedy, Family, Sport","$16,809,014",tt0376108,45000000,16809014.0
Dark Water,2005,5.6,65651.0,"Drama, Horror, Mystery","$25,473,352",tt0382628,30000000,25473093.0
Fantastic Four,2005,5.7,345339.0,"Action, Adventure, Fantasy","$154,696,080",tt0120667,100000000,330579719.0
Murderball,2005,7.7,10475.0,"Documentary, Sport","$1,531,154",tt0436613,300000,1750211.0
Wedding Crashers,2005,7.0,378014.0,"Comedy, Romance","$209,273,411",tt0396269,40000000,285176741.0
Russian Dolls,2005,7.0,21358.0,"Comedy, Drama, Romance","$326,095",tt0409184,13000000,23727301.0
Hustle & Flow,2005,7.3,43364.0,"Crime, Drama, Music","$22,202,809",tt0410097,8000000,23563727.0
The Island,2005,6.8,329074.0,"Action, Sci-Fi, Thriller","$35,818,913",tt0399201,126000000,162949164.0
Bad News Bears,2005,5.8,22944.0,"Comedy, Sport","$32,868,349",tt0408524,30000000,34252847.0
Sky High,2005,6.3,95433.0,"Action, Comedy, Family","$63,946,815",tt0405325,35000000,86369815.0
Stealth,2005,5.1,56429.0,"Action, Adventure, Sci-Fi","$32,116,746",tt0382992,135000000,76932943.0
Must Love Dogs,2005,5.9,33168.0,"Comedy, Romance","$43,894,863",tt0417001,30000000,58405313.0
Serenity,2005,7.8,306849.0,"Action, Adventure, Sci-Fi","$25,514,517",tt0379786,39000000,38869464.0
Broken Flowers,2005,7.1,107120.0,"Comedy, Drama, Mystery","$13,744,960",tt0412019,10000000,45742101.0
Man-Thing,2005,4.1,7071.0,"Action, Adventure, Horror",N/A,tt0290747,7500000,143000.0
The Dukes of Hazzard,2005,5.1,82237.0,Comedy,"$80,270,227",tt0377818,50000000,110803676.0
Deuce Bigalow: European Gigolo,2005,4.7,53561.0,Comedy,"$22,400,154",tt0367652,22000000,22400154.0
The Skeleton Key,2005,6.5,123723.0,"Drama, Horror, Mystery","$47,907,715",tt0397101,43000000,91974818.0
Four Brothers,2005,6.8,159504.0,"Action, Crime, Drama","$74,494,381",tt0430105,45000000,92374674.0
The Great Raid,2005,6.6,24035.0,"Action, Drama, War","$10,167,373",tt0326905,80000000,10166502.0
The 40-Year-Old Virgin,2005,7.1,471502.0,"Comedy, Romance","$109,449,237",tt0405422,26000000,109449237.0
Red Eye,2005,6.5,144922.0,Thriller,"$57,891,803",tt0421239,26000000,57891803.0
Valiant,2005,5.5,24529.0,"Animation, Adventure, Comedy","$19,478,106",tt0361089,35000000,19478106.0
The Brothers Grimm,2005,5.9,126725.0,"Action, Adventure, Comedy","$37,916,267",tt0355295,88000000,105316267.0
The Cave,2005,5.1,41677.0,"Adventure, Horror, Sci-Fi","$15,007,991",tt0402901,30000000,15007991.0
Undiscovered,2005,4.2,2932.0,"Comedy, Music, Romance","$1,069,318",tt0434424,9000000,1046166.0
The Constant Gardener,2005,7.3,149021.0,"Drama, Mystery, Romance","$33,579,797",tt0387131,25000000,82466670.0
Transporter 2,2005,6.3,216576.0,"Action, Crime, Thriller","$43,095,856",tt0388482,32000000,85167639.0
