IMDB ID,Title,Budget,Revenue,Year
tt2381249,Mission: Impossible - Rogue Nation,"$150,000,000.00","$682,330,139.00",2015
tt1617661,Jupiter Ascending,"$176,000,003.00","$183,987,723.00",2015
tt0470752,Ex Machina,"$15,000,000.00","$36,869,414.00",2015
tt3263614,"Kumiko, the Treasure Hunter",$0.00,$0.00,2015
tt1390411,In the Heart of the Sea,"$100,000,000.00","$93,820,758.00",2015
tt0369610,Jurassic World,"$150,000,000.00","$1,513,528,810.00",2015
tt4046784,Maze Runner: The Scorch Trials,"$61,000,000.00","$311,256,926.00",2015
tt3659786,Marvellous,$0.00,$0.00,2015
tt2802144,Kingsman: The Secret Service,"$81,000,000.00","$414,351,546.00",2015
tt1823672,Chappie,"$49,000,000.00","$104,399,548.00",2015
tt2717822,Blackhat,"$70,000,000.00","$17,752,940.00",2015
tt4186386,Beck 27 - Rum 302,$0.00,$0.00,2015
tt1340138,Terminator Genisys,"$155,000,000.00","$440,603,537.00",2015
tt3235888,It Follows,"$2,000,000.00","$14,674,076.00",2015
tt4186390,Beck 28 - Familjen,$0.00,$0.00,2015
tt1392190,Mad Max: Fury Road,"$150,000,000.00","$378,858,340.00",2015
tt3195644,Insidious: Chapter 3,"$10,000,000.00","$104,303,851.00",2015
tt2488496,Star Wars: The Force Awakens,"$245,000,000.00","$2,068,223,624.00",2015
tt2395427,Avengers: Age of Ultron,"$280,000,000.00","$1,405,403,694.00",2015
tt0478970,Ant-Man,"$130,000,000.00","$519,311,965.00",2015
tt1502712,Fantastic Four,"$120,000,000.00","$167,977,596.00",2015
tt3878542,Justice League: Throne of Atlantis,"$3,500,000.00",$0.00,2015
tt2401223,Richard Pryor: Omit the Logic,$0.00,$0.00,2015
tt3045616,Mortdecai,"$60,000,000.00","$30,418,560.00",2015
tt2322441,Fifty Shades of Grey,"$40,000,000.00","$571,006,128.00",2015
tt4191054,Strange Magic,$0.00,"$13,603,453.00",2015
tt1666801,The DUFF,"$8,500,000.00","$43,528,634.00",2015
tt1945084,Everly,$0.00,$0.00,2015
tt2436386,Project Almanac,"$12,000,000.00","$32,248,241.00",2015
tt4368814,Louis C.K.: Live at The Comedy Store,$0.00,$0.00,2015
tt2381111,Brooklyn,"$11,000,000.00","$62,076,141.00",2015
tt3704416,Digging for Fire,$0.00,$0.00,2015
tt3534282,Don Verdean,$0.00,"$31,309.00",2015
tt3416744,The End of the Tour,$0.00,"$3,002,884.00",2015
tt3726704,Experimenter,$0.00,$0.00,2015
tt3713030,I Am Michael,$0.00,$0.00,2015
tt3442990,Lila & Eve,$0.00,$0.00,2015
tt3236120,I'll See You in My Dreams,$0.00,"$7,449,681.00",2015
tt2566644,Seoul Searching,$0.00,$0.00,2015
tt2349144,Mississippi Grind,$0.00,"$130,541.00",2015
tt2872462,Mistress America,$0.00,"$2,500,431.00",2015
tt3346224,Zipper,$0.00,$0.00,2015
tt1178665,A Walk in the Woods,"$8,000,000.00","$35,991,087.00",2015
tt2273657,True Story,$0.00,"$4,719,695.00",2015
tt3397754,Ten Thousand Saints,$0.00,$0.00,2015
tt3165612,Sleeping with Other People,$0.00,"$3,214,116.00",2015
tt4264834,Beaver Trilogy Part IV,$0.00,$0.00,2015
tt1674785,Drunk Stoned Brilliant Dead: The Story of the National Lampoon,$0.00,$0.00,2015
tt4229236,Cobain: Montage of Heck,$0.00,$0.00,2015
tt4185572,The Hunting Ground,$0.00,"$411,115.00",2015
tt4209900,Fresh Dressed,$0.00,$0.00,2015
tt4257858,Going Clear: Scientology and the Prison of Belief,$0.00,$0.00,2015
tt3983674,The Mask You Live In,$0.00,$0.00,2015
tt4188202,Prophet's Prey,$0.00,$0.00,2015
tt3986532,Tig,$0.00,$0.00,2015
tt1780871,In Football We Trust,$0.00,$0.00,2015
tt4267108,Most Likely to Succeed,$0.00,$0.00,2015
tt4284010,"What Happened, Miss Simone?",$0.00,$0.00,2015
tt3090670,Advantageous,$0.00,$0.00,2015
tt3534602,The D Train,"$447,524.00","$771,317.00",2015
tt3172532,The Diary of a Teenage Girl,"$2,000,000.00","$1,477,002.00",2015
tt3850214,Dope,"$700,000.00","$17,986,781.00",2015
tt3640682,I Smile Back,$0.00,$0.00,2015
tt2582496,Me and Earl and the Dying Girl,$0.00,$0.00,2015
tt3844362,The Overnight,$0.00,"$1,100,000.00",2015
tt4104022,"People, Places, Things",$0.00,$0.00,2015
tt3824412,Results,$0.00,"$104,507.00",2015
tt3566788,Songs My Brothers Taught Me,$0.00,$0.00,2015
tt0420293,The Stanford Prison Experiment,$0.00,"$643,557.00",2015
tt2481512,"Stockholm, Pennsylvania",$0.00,$0.00,2015
tt4145304,Unexpected,$0.00,$0.00,2015
tt1598642,Z for Zachariah,$0.00,"$121,461.00",2015
tt3066630,The Forbidden Room,$0.00,$0.00,2015
tt3480796,Vice,"$10,000,000.00",$0.00,2015
tt3667610,Ziarno prawdy,$0.00,$0.00,2015
tt2366608,Lost River,"$2,000,000.00","$45,431.00",2015
tt2442080,Chuck Norris vs Communism,$0.00,$0.00,2015
tt4142022,Italiano medio,"$1,816,720.00","$4,541,800.00",2015
tt3460252,The Hateful Eight,"$44,000,000.00","$155,760,117.00",2015
tt3125220,Little Accidents,$0.00,$0.00,2015
tt2231253,Wild Card,"$30,000,000.00",$0.00,2015
tt3622592,Paper Towns,"$12,000,000.00","$85,512,300.00",2015
tt0884732,The Wedding Ringer,"$23,000,000.00","$79,799,880.00",2015
tt3220192,Jönssonligan - Den perfekta stöten,"$3,500,000.00",$0.00,2015
tt3181822,The Boy Next Door,"$4,000,000.00","$52,425,855.00",2015
tt3007302,Boy Meets Girl,$0.00,$0.00,2015
tt2101383,Knight of Cups,$0.00,"$566,006.00",2015
tt3544082,45 Years,$0.00,"$4,250,507.00",2015
tt2711898,Journal d'une femme de chambre,$0.00,$0.00,2015
tt4135844,Ixcanul,$0.00,$0.00,2015
tt4358230,Ciało,$0.00,$0.00,2015
tt2735996,Nadie quiere la noche,$0.00,$0.00,2015
tt3306858,Als wir träumten,$0.00,$0.00,2015
tt4226388,Victoria,$0.00,"$3,191,998.00",2015
tt4368334,Petting Zoo,$0.00,$0.00,2015
tt2802136,Home Sweet Hell,"$3,000,000.00",$0.00,2015
tt3685818,Viikossa aikuiseksi,$0.00,$0.00,2015
tt3904272,Bizarre,$0.00,$0.00,2015
tt2554274,Crimson Peak,"$55,000,000.00","$74,679,822.00",2015
tt3829170,Dragonheart 3: The Sorcerer's Curse,$0.00,$0.00,2015
tt2637294,Hot Tub Time Machine 2,"$14,000,000.00","$12,314,651.00",2015
tt2231646,M.O.Ž.,$0.00,$0.00,2015
tt2123170,The Coven,$0.00,$0.00,2015
tt2933474,Superfast!,"$20,000,000.00",$0.00,2015
tt3265462,한공주,$0.00,$0.00,2015
tt2381941,Focus,"$50,100,000.00","$153,962,963.00",2015
tt1707380,Every Thing Will Be Fine,$0.00,"$8,034.00",2015
tt2279373,The SpongeBob Movie: Sponge Out of Water,"$74,000,000.00","$311,594,032.00",2015
tt1841642,Demonic,"$3,000,000.00","$3,387,000.00",2015
tt2555736,The Second Best Exotic Marigold Hotel,"$10,000,000.00","$85,978,266.00",2015
tt2401097,Tracers,"$11,000,000.00","$593,683.00",2015
tt2097298,"McFarland, USA",$0.00,"$45,710,059.00",2015
tt2909116,狼图腾,"$38,000,000.00","$123,205,624.00",2015
tt2918436,The Lazarus Effect,"$3,300,000.00","$64,110,728.00",2015
tt2358925,Unfinished Business,"$35,000,000.00","$14,431,253.00",2015
tt3233418,Spare Parts,$0.00,$0.00,2015
tt4397346,Bikes vs Cars,$90.00,$0.00,2015
tt4189260,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,$0.00,$0.00,2015
tt1850418,To Write Love on Her Arms,"$3,400,000.00",$0.00,2015
tt2199571,Run All Night,"$50,000,000.00","$71,561,644.00",2015
tt3042626,Asthma,$0.00,$0.00,2015
tt3030354,Assassin,$0.00,$0.00,2015
tt1991031,Digging Up the Marrow,$0.00,$0.00,2015
tt3785740,Kingdom of Shadows,$0.00,$0.00,2015
tt3110770,Road Hard,"$1,500,000.00",$0.00,2015
tt1661199,Cinderella,"$95,000,000.00","$543,514,353.00",2015
tt4007502,Frozen Fever,$0.00,$0.00,2015
tt2917388,Kidnapping Mr. Heineken,$0.00,"$2,633,527.00",2015
tt4377918,Crazy Beautiful You,$0.00,$0.00,2015
tt4406298,That Gal...Who Was in That Thing: That Guy 2,$0.00,$0.00,2015
tt3570168,Dyke Hard,"$30,000.00",$0.00,2015
tt3720382,Toiset tytöt,$0.00,$0.00,2015
tt4058426,India's Daughter,$0.00,$0.00,2015
tt1029360,Poltergeist,"$35,000,000.00","$95,437,994.00",2015
tt3332064,Pan,"$150,000,000.00","$128,388,320.00",2015
tt1791682,While We're Young,"$10,000,000.00","$7,587,485.00",2015
