Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID
Keeping Mum,2005,6.8,"36,019","Comedy, Crime","$1,619,466",tt0444653
Four Eyed Monsters,2005,6.2,"1,235","Comedy, Drama, Fantasy","$3,135",tt0439182
Murderball,2005,7.7,"10,475","Documentary, Sport","$1,531,154",tt0436613
12 and Holding,2005,7.4,"7,133",Drama,"$96,464",tt0417385
Brick,2005,7.1,"110,479","Crime, Drama, Mystery","$2,075,743",tt0393109
Mrs Palfrey at the Claremont,2005,7.6,"4,308","Comedy, Drama","$1,720,953",tt0421229
The Derby Stallion,2005,5.4,"1,184",Drama,N/A,tt0451038
Romanzo Criminale,2005,7.2,"9,557","Crime, Drama",N/A,tt0418110
The Quiet,2005,6.1,"17,580","Crime, Drama, Thriller","$381,420",tt0414951
Hard Candy,2005,7.0,"168,575","Drama, Thriller","$1,024,640",tt0424136
Cry Wolf,2005,5.8,"28,609","Drama, Horror, Mystery","$10,047,674",tt0384286
Transamerica,2005,7.4,"42,437","Adventure, Comedy, Drama","$9,015,303",tt0407265
Wolf Creek,2005,6.2,"78,872","Horror, Thriller","$16,188,180",tt0416315
The Ballad of Jack and Rose,2005,6.5,"12,198",Drama,"$712,275",tt0357110
The Squid and the Whale,2005,7.3,"90,877","Comedy, Drama","$7,372,734",tt0367089
Initial D,2005,6.3,"9,796","Action, Comedy, Drama",N/A,tt0439630
Battle in Heaven,2005,5.5,"6,596","Crime, Drama","$70,899",tt0387055
Bluffmaster,2005,6.6,"6,705","Comedy, Crime, Drama","$718,956",tt0476527
Sarkar,2005,7.6,"17,496","Action, Crime, Drama",N/A,tt0432047
Inside Deep Throat,2005,6.7,"7,051","Documentary, Biography, History","$691,880",tt0418753
Kosmos kak predchuvstvie,2005,6.6,728,Drama,N/A,tt0464665
The Proposition,2005,7.3,"55,136","Crime, Drama, Western","$1,903,434",tt0421238
Harsh Times,2005,6.8,"68,728","Action, Crime, Drama","$3,337,931",tt0433387
FC Venus,2005,5.5,"2,325","Comedy, Romance, Sport",N/A,tt0453365
Shabd,2005,5.1,"1,509","Drama, Thriller",N/A,tt0409527
Tsotsi,2005,7.2,"31,662","Crime, Drama","$2,912,606",tt0468565
Dave Chappelle's Block Party,2005,7.2,"9,644","Documentary, Comedy, Music","$11,718,595",tt0425598
Waiting...,2005,6.7,"106,604",Comedy,"$16,124,543",tt0348333
Boy s tenyu,2005,5.8,"2,209","Action, Drama, Sport",N/A,tt0415678
Mirrormask,2005,6.7,"23,718","Drama, Fantasy","$866,999",tt0366780
Saw II,2005,6.6,"278,854","Horror, Mystery","$87,039,965",tt0432348
Tamara,2005,5.0,"11,094","Drama, Fantasy, Horror","$206,871",tt0401815
Hostel,2005,5.9,"191,873",Horror,"$47,326,473",tt0450278
The Protector,2005,7.0,"39,127","Action, Crime, Drama","$12,044,087",tt0427954
The Work and the Glory II: American Zion,2005,6.1,775,"Drama, Western","$2,025,032",tt0457530
Thank You for Smoking,2005,7.5,"229,736","Comedy, Drama","$24,793,509",tt0427944
Everything Is Illuminated,2005,7.4,"60,005","Comedy, Drama","$1,712,337",tt0404030
Capote,2005,7.3,"141,560","Biography, Crime, Drama","$28,750,530",tt0379725
"Good Night, and Good Luck.",2005,7.4,"101,552","Biography, Drama, History","$31,558,003",tt0433383
Man-Thing,2005,4.1,"7,071","Action, Adventure, Horror",N/A,tt0290747
Riding Alone for Thousands of Miles,2005,7.3,"5,645",Drama,"$252,325",tt0437447
Down in the Valley,2005,6.4,"19,018","Drama, Romance, Thriller","$568,932",tt0398027
The Rocket,2005,7.6,"5,383","Biography, Drama, Sport",N/A,tt0460505
Hustle & Flow,2005,7.3,"43,364","Crime, Drama, Music","$22,202,809",tt0410097
March of the Penguins,2005,7.5,"60,289","Documentary, Family","$77,437,223",tt0428803
Undiscovered,2005,4.2,"2,932","Comedy, Music, Romance","$1,069,318",tt0434424
9th Company,2005,7.1,"21,746","Action, Drama, History",N/A,tt0417397
The Lost City,2005,6.5,"9,949","Drama, Romance","$2,484,186",tt0343996
The Matador,2005,6.7,"46,473","Comedy, Crime, Thriller","$12,594,698",tt0365485
Broken Flowers,2005,7.1,"107,120","Comedy, Drama, Mystery","$13,744,960",tt0412019
White Noise,2005,5.5,"50,974","Drama, Horror, Mystery","$56,386,759",tt0375210
Shopgirl,2005,6.3,"24,730","Drama, Romance","$10,284,523",tt0338427
Mozart and the Whale,2005,6.7,"9,330","Comedy, Drama, Romance","$36,006",tt0392465
Tideland,2005,6.3,"34,816","Drama, Fantasy, Horror","$66,453",tt0410764
Russian Dolls,2005,7.0,"21,358","Comedy, Drama, Romance","$326,095",tt0409184
Bee Season,2005,5.5,"7,227","Drama, Family","$1,180,560",tt0387059
Because of Winn-Dixie,2005,6.4,"12,760","Comedy, Drama, Family","$32,647,042",tt0317132
Brokeback Mountain,2005,7.7,"386,417","Drama, Romance","$83,043,761",tt0388795
Manderlay,2005,7.2,"25,276",Drama,"$78,378",tt0342735
The Three Burials of Melquiades Estrada,2005,7.3,"41,991","Adventure, Crime, Drama","$5,027,684",tt0419294
Kiss Kiss Bang Bang,2005,7.5,"238,251","Comedy, Crime, Mystery","$4,243,756",tt0373469
Land of the Dead,2005,6.2,"101,138","Horror, Sci-Fi, Thriller","$20,700,082",tt0418819
The Wedding Date,2005,6.1,"56,505","Comedy, Romance","$31,726,995",tt0372532
Hoodwinked!,2005,6.5,"66,674","Animation, Adventure, Comedy","$51,386,611",tt0443536
Match Point,2005,7.6,"229,114","Drama, Romance, Thriller","$23,151,529",tt0416320
Slow Burn,2005,5.7,"4,229","Drama, Mystery, Thriller","$1,237,615",tt0376196
The Fog,2005,3.7,"39,394","Horror, Mystery","$29,550,869",tt0432291
The Amityville Horror,2005,5.9,"117,742",Horror,"$65,233,369",tt0384806
The Exorcism of Emily Rose,2005,6.7,"140,742","Drama, Horror, Thriller","$75,072,454",tt0404032
Proof,2005,6.7,"46,218","Drama, Mystery","$7,535,331",tt0377107
