Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID,Budget,Revenue
Keeping Mum,2005,6.8,"36,019","Comedy, Crime","$1,619,466",tt0444653,"$169,000.00 ","$18,564,702.00 "
Four Eyed Monsters,2005,6.2,"1,235","Comedy, Drama, Fantasy","$3,135",tt0439182,"$250,000.00 ","$245,000.00 "
Murderball,2005,7.7,"10,475","Documentary, Sport","$1,531,154",tt0436613,"$300,000.00 ","$1,750,211.00 "
12 and Holding,2005,7.4,"7,133",Drama,"$96,464",tt0417385,"$400,000.00 ","$95,687.00 "
Brick,2005,7.1,"110,479","Crime, Drama, Mystery","$2,075,743",tt0393109,"$475,000.00 ","$3,919,254.00 "
Mrs Palfrey at the Claremont,2005,7.6,"4,308","Comedy, Drama","$1,720,953",tt0421229,"$750,000.00 ","$1,720,953.00 "
The Derby Stallion,2005,5.4,"1,184",Drama,N/A,tt0451038,"$750,000.00 ","$4,000,000.00 "
Romanzo Criminale,2005,7.2,"9,557","Crime, Drama",N/A,tt0418110,"$818,418.00 ","$4,851,244.00 "
The Quiet,2005,6.1,"17,580","Crime, Drama, Thriller","$381,420",tt0414951,"$900,000.00 ","$381,420.00 "
Hard Candy,2005,7.0,"168,575","Drama, Thriller","$1,024,640",tt0424136,"$950,000.00 ","$7,022,209.00 "
Cry Wolf,2005,5.8,"28,609","Drama, Horror, Mystery","$10,047,674",tt0384286,"$1,000,000.00 ","$10,047,674.00 "
Transamerica,2005,7.4,"42,437","Adventure, Comedy, Drama","$9,015,303",tt0407265,"$1,000,000.00 ","$13,350,369.00 "
Wolf Creek,2005,6.2,"78,872","Horror, Thriller","$16,188,180",tt0416315,"$1,000,000.00 ","$27,762,648.00 "
The Ballad of Jack and Rose,2005,6.5,"12,198",Drama,"$712,275",tt0357110,"$1,500,000.00 ","$712,294.00 "
The Squid and the Whale,2005,7.3,"90,877","Comedy, Drama","$7,372,734",tt0367089,"$1,500,000.00 ","$11,098,131.00 "
Initial D,2005,6.3,"9,796","Action, Comedy, Drama",N/A,tt0439630,"$1,549,000.00 ","$7,096,000.00 "
Battle in Heaven,2005,5.5,"6,596","Crime, Drama","$70,899",tt0387055,"$1,601,792.00 ","$253,527.00 "
Bluffmaster,2005,6.6,"6,705","Comedy, Crime, Drama","$718,956",tt0476527,"$1,823,152.00 ","$7,133,082.00 "
Sarkar,2005,7.6,"17,496","Action, Crime, Drama",N/A,tt0432047,"$1,900,000.00 ","$5,900,000.00 "
Inside Deep Throat,2005,6.7,"7,051","Documentary, Biography, History","$691,880",tt0418753,"$2,000,000.00 ","$653,621.00 "
Kosmos kak predchuvstvie,2005,6.6,728,Drama,N/A,tt0464665,"$2,000,000.00 ","$696,681.00 "
The Proposition,2005,7.3,"55,136","Crime, Drama, Western","$1,903,434",tt0421238,"$2,000,000.00 ","$5,048,693.00 "
Harsh Times,2005,6.8,"68,728","Action, Crime, Drama","$3,337,931",tt0433387,"$2,000,000.00 ","$5,967,038.00 "
FC Venus,2005,5.5,"2,325","Comedy, Romance, Sport",N/A,tt0453365,"$2,196,531.00 ","$2,411,594.00 "
Shabd,2005,5.1,"1,509","Drama, Thriller",N/A,tt0409527,"$2,500,000.00 ","$3,100,000.00 "
Tsotsi,2005,7.2,"31,662","Crime, Drama","$2,912,606",tt0468565,"$3,000,000.00 ","$9,879,971.00 "
Dave Chappelle's Block Party,2005,7.2,"9,644","Documentary, Comedy, Music","$11,718,595",tt0425598,"$3,000,000.00 ","$11,718,595.00 "
Waiting...,2005,6.7,"106,604",Comedy,"$16,124,543",tt0348333,"$3,000,000.00 ","$18,637,690.00 "
Boy s tenyu,2005,5.8,"2,209","Action, Drama, Sport",N/A,tt0415678,"$3,500,000.00 ","$8,262,833.00 "
Mirrormask,2005,6.7,"23,718","Drama, Fantasy","$866,999",tt0366780,"$4,000,000.00 ","$866,999.00 "
Saw II,2005,6.6,"278,854","Horror, Mystery","$87,039,965",tt0432348,"$4,000,000.00 ","$152,925,093.00 "
Tamara,2005,5.0,"11,094","Drama, Fantasy, Horror","$206,871",tt0401815,"$4,750,000.00 ","$206,871.00 "
Hostel,2005,5.9,"191,873",Horror,"$47,326,473",tt0450278,"$4,800,000.00 ","$80,578,934.00 "
The Protector,2005,7.0,"39,127","Action, Crime, Drama","$12,044,087",tt0427954,"$6,000,000.00 ","$27,165,581.00 "
The Work and the Glory II: American Zion,2005,6.1,775,"Drama, Western","$2,025,032",tt0457530,"$6,500,000.00 ","$2,025,032.00 "
Thank You for Smoking,2005,7.5,"229,736","Comedy, Drama","$24,793,509",tt0427944,"$6,500,000.00 ","$24,793,509.00 "
Everything Is Illuminated,2005,7.4,"60,005","Comedy, Drama","$1,712,337",tt0404030,"$7,000,000.00 ","$2,697,930.00 "
Capote,2005,7.3,"141,560","Biography, Crime, Drama","$28,750,530",tt0379725,"$7,000,000.00 ","$49,084,830.00 "
"Good Night, and Good Luck.",2005,7.4,"101,552","Biography, Drama, History","$31,558,003",tt0433383,"$7,000,000.00 ","$54,600,000.00 "
Man-Thing,2005,4.1,"7,071","Action, Adventure, Horror",N/A,tt0290747,"$7,500,000.00 ","$143,000.00 "
Riding Alone for Thousands of Miles,2005,7.3,"5,645",Drama,"$252,325",tt0437447,"$7,500,000.00 ","$3,752,325.00 "
Down in the Valley,2005,6.4,"19,018","Drama, Romance, Thriller","$568,932",tt0398027,"$8,000,000.00 ","$852,872.00 "
The Rocket,2005,7.6,"5,383","Biography, Drama, Sport",N/A,tt0460505,"$8,000,000.00 ","$2,019,009.00 "
Hustle & Flow,2005,7.3,"43,364","Crime, Drama, Music","$22,202,809",tt0410097,"$8,000,000.00 ","$23,563,727.00 "
March of the Penguins,2005,7.5,"60,289","Documentary, Family","$77,437,223",tt0428803,"$8,000,000.00 ","$127,392,239.00 "
Undiscovered,2005,4.2,"2,932","Comedy, Music, Romance","$1,069,318",tt0434424,"$9,000,000.00 ","$1,046,166.00 "
9th Company,2005,7.1,"21,746","Action, Drama, History",N/A,tt0417397,"$9,500,000.00 ","$24,000,000.00 "
The Lost City,2005,6.5,"9,949","Drama, Romance","$2,484,186",tt0343996,"$9,600,000.00 ","$4,386,236.00 "
The Matador,2005,6.7,"46,473","Comedy, Crime, Thriller","$12,594,698",tt0365485,"$10,000,000.00 ","$17,297,244.00 "
Broken Flowers,2005,7.1,"107,120","Comedy, Drama, Mystery","$13,744,960",tt0412019,"$10,000,000.00 ","$45,742,101.00 "
White Noise,2005,5.5,"50,974","Drama, Horror, Mystery","$56,386,759",tt0375210,"$10,000,000.00 ","$91,196,419.00 "
Shopgirl,2005,6.3,"24,730","Drama, Romance","$10,284,523",tt0338427,"$10,284,523.00 ","$11,588,205.00 "
Mozart and the Whale,2005,6.7,"9,330","Comedy, Drama, Romance","$36,006",tt0392465,"$12,000,000.00 ","$84,967.00 "
Tideland,2005,6.3,"34,816","Drama, Fantasy, Horror","$66,453",tt0410764,"$12,000,000.00 ","$566,611.00 "
Russian Dolls,2005,7.0,"21,358","Comedy, Drama, Romance","$326,095",tt0409184,"$13,000,000.00 ","$23,727,301.00 "
Bee Season,2005,5.5,"7,227","Drama, Family","$1,180,560",tt0387059,"$14,000,000.00 ","$6,856,989.00 "
Because of Winn-Dixie,2005,6.4,"12,760","Comedy, Drama, Family","$32,647,042",tt0317132,"$14,000,000.00 ","$32,645,546.00 "
Brokeback Mountain,2005,7.7,"386,417","Drama, Romance","$83,043,761",tt0388795,"$14,000,000.00 ","$178,043,761.00 "
Manderlay,2005,7.2,"25,276",Drama,"$78,378",tt0342735,"$14,200,000.00 ","$674,918.00 "
The Three Burials of Melquiades Estrada,2005,7.3,"41,991","Adventure, Crime, Drama","$5,027,684",tt0419294,"$15,000,000.00 ","$12,036,149.00 "
Kiss Kiss Bang Bang,2005,7.5,"238,251","Comedy, Crime, Mystery","$4,243,756",tt0373469,"$15,000,000.00 ","$15,785,148.00 "
Land of the Dead,2005,6.2,"101,138","Horror, Sci-Fi, Thriller","$20,700,082",tt0418819,"$15,000,000.00 ","$46,770,602.00 "
The Wedding Date,2005,6.1,"56,505","Comedy, Romance","$31,726,995",tt0372532,"$15,000,000.00 ","$47,175,038.00 "
Hoodwinked!,2005,6.5,"66,674","Animation, Adventure, Comedy","$51,386,611",tt0443536,"$15,000,000.00 ","$51,053,787.00 "
Match Point,2005,7.6,"229,114","Drama, Romance, Thriller","$23,151,529",tt0416320,"$15,000,000.00 ","$85,306,374.00 "
Slow Burn,2005,5.7,"4,229","Drama, Mystery, Thriller","$1,237,615",tt0376196,"$15,500,000.00 ","$1,237,615.00 "
The Fog,2005,3.7,"39,394","Horror, Mystery","$29,550,869",tt0432291,"$18,000,000.00 ","$46,201,432.00 "
The Amityville Horror,2005,5.9,"117,742",Horror,"$65,233,369",tt0384806,"$19,000,000.00 ","$108,047,131.00 "
The Exorcism of Emily Rose,2005,6.7,"140,742","Drama, Horror, Thriller","$75,072,454",tt0404032,"$19,000,000.00 ","$144,216,468.00 "
Proof,2005,6.7,"46,218","Drama, Mystery","$7,535,331",tt0377107,"$20,000,000.00 ","$7,535,331.00 "
Alone in the Dark,2005,2.4,"47,103","Action, Horror, Sci-Fi","$5,178,569",tt0369226,"$20,000,000.00 ","$10,442,808.00 "
The Weather Man,2005,6.6,"83,551","Comedy, Drama","$12,482,775",tt0384680,"$20,000,000.00 ","$12,482,775.00 "
Boogeyman,2005,4.2,"32,544","Drama, Horror, Mystery","$46,752,382",tt0357507,"$20,000,000.00 ","$67,192,859.00 "
Joyeux Noel,2005,7.7,"32,066","Drama, History, Music","$1,054,361",tt0424205,"$22,000,000.00 ","$17,709,155.00 "
Deuce Bigalow: European Gigolo,2005,4.7,"53,561",Comedy,"$22,400,154",tt0367652,"$22,000,000.00 ","$22,400,154.00 "
Derailed,2005,6.6,"76,725","Crime, Drama, Thriller","$36,024,076",tt0398017,"$22,000,000.00 ","$57,479,076.00 "
Empire of the Wolves,2005,5.8,"12,203","Action, Crime, Drama",N/A,tt0402158,"$24,000,000.00 ","$11,875,866.00 "
BloodRayne,2005,3.0,"37,301","Action, Fantasy, Horror","$2,405,420",tt0383222,"$25,000,000.00 ","$2,405,420.00 "
Lords of Dogtown,2005,7.1,"58,468","Biography, Drama, Sport","$11,273,517",tt0355702,"$25,000,000.00 ","$13,411,957.00 "
The Greatest Game Ever Played,2005,7.4,"33,809","Biography, Drama, Sport","$15,337,393",tt0388980,"$25,000,000.00 ","$15,431,177.00 "
Ice Princess,2005,6.0,"29,057","Comedy, Drama, Family","$24,402,491",tt0396652,"$25,000,000.00 ","$27,645,491.00 "
Beauty Shop,2005,5.6,"18,772",Comedy,"$36,351,350",tt0388500,"$25,000,000.00 ","$36,351,350.00 "
The Sisterhood of the Traveling Pants,2005,6.5,"65,340","Comedy, Drama, Romance","$39,053,061",tt0403508,"$25,000,000.00 ","$39,053,061.00 "
The Constant Gardener,2005,7.3,"149,021","Drama, Mystery, Romance","$33,579,797",tt0387131,"$25,000,000.00 ","$82,466,670.00 "
Nanny McPhee,2005,6.6,"85,918","Comedy, Family, Fantasy","$47,144,110",tt0396752,"$25,000,000.00 ","$122,489,822.00 "
Hide and Seek,2005,5.9,"89,296","Horror, Mystery","$51,100,486",tt0382077,"$25,000,000.00 ","$122,644,820.00 "
Red Eye,2005,6.5,"144,922",Thriller,"$57,891,803",tt0421239,"$26,000,000.00 ","$57,891,803.00 "
The 40-Year-Old Virgin,2005,7.1,"471,502","Comedy, Romance","$109,449,237",tt0405422,"$26,000,000.00 ","$109,449,237.00 "
Pride & Prejudice,2005,7.8,"333,152","Drama, Romance","$38,405,088",tt0414387,"$28,000,000.00 ","$121,147,947.00 "
Walk the Line,2005,7.8,"267,062","Biography, Drama, Music","$119,519,402",tt0358273,"$28,000,000.00 ","$186,438,883.00 "
The Jacket,2005,7.1,"119,641","Drama, Fantasy, Mystery","$6,303,762",tt0366627,"$29,000,000.00 ","$21,126,225.00 "
Dominion: Prequel to the Exorcist,2005,5.1,"13,747","Drama, Horror, Thriller","$251,495",tt0449086,"$30,000,000.00 ","$251,495.00 "
The Cave,2005,5.1,"41,677","Adventure, Horror, Sci-Fi","$15,007,991",tt0402901,"$30,000,000.00 ","$15,007,991.00 "
An Unfinished Life,2005,7.0,"34,090","Drama, Family, Romance","$8,586,392",tt0350261,"$30,000,000.00 ","$18,618,284.00 "
Dark Water,2005,5.6,"65,651","Drama, Horror, Mystery","$25,473,352",tt0382628,"$30,000,000.00 ","$25,473,093.00 "
Goal! The Dream Begins,2005,6.7,"66,162","Drama, Romance, Sport","$4,283,255",tt0380389,"$30,000,000.00 ","$27,610,873.00 "
The New World,2005,6.7,"90,264","Biography, Drama, History","$12,712,093",tt0402399,"$30,000,000.00 ","$30,536,013.00 "
Bad News Bears,2005,5.8,"22,880","Comedy, Sport","$32,868,349",tt0408524,"$30,000,000.00 ","$34,252,847.00 "
Assault on Precinct 13,2005,6.3,"82,100","Action, Crime, Drama","$20,040,895",tt0398712,"$30,000,000.00 ","$35,294,470.00 "
A Lot Like Love,2005,6.6,"71,313","Comedy, Drama, Romance","$21,845,719",tt0391304,"$30,000,000.00 ","$42,886,719.00 "
Fever Pitch,2005,6.2,"47,915","Comedy, Drama, Romance","$42,071,069",tt0332047,"$30,000,000.00 ","$50,451,307.00 "
Must Love Dogs,2005,5.9,"33,168","Comedy, Romance","$43,894,863",tt0417001,"$30,000,000.00 ","$58,405,313.00 "
Coach Carter,2005,7.3,"173,672","Biography, Drama, Sport","$67,264,877",tt0393162,"$30,000,000.00 ","$76,669,806.00 "
Racing Stripes,2005,5.2,"18,296","Adventure, Comedy, Drama","$49,772,522",tt0376105,"$30,000,000.00 ","$93,772,522.00 "
Wallace & Gromit: The Curse of the Were-Rabbit,2005,7.5,"147,197","Animation, Adventure, Comedy","$56,110,897",tt0312004,"$30,000,000.00 ","$192,452,832.00 "
A History of Violence,2005,7.4,"253,857","Action, Crime, Drama","$31,504,633",tt0399146,"$32,000,000.00 ","$60,740,827.00 "
Transporter 2,2005,6.3,"216,576","Action, Crime, Thriller","$43,095,856",tt0388482,"$32,000,000.00 ","$85,167,639.00 "
Are We There Yet?,2005,4.8,"34,723","Adventure, Comedy, Family","$82,674,398",tt0368578,"$32,000,000.00 ","$97,918,663.00 "
Cursed,2005,5.0,"35,112","Comedy, Horror","$19,297,522",tt0257516,"$35,000,000.00 ","$19,294,901.00 "
Valiant,2005,5.5,"24,529","Animation, Adventure, Comedy","$19,478,106",tt0361089,"$35,000,000.00 ","$19,478,106.00 "
North Country,2005,7.3,"45,082",Drama,"$18,337,722",tt0395972,"$35,000,000.00 ","$25,224,242.00 "
Two for the Money,2005,6.2,"48,966","Crime, Drama, Sport","$22,991,379",tt0417217,"$35,000,000.00 ","$30,526,509.00 "
Guess Who,2005,5.9,"45,885","Comedy, Romance","$68,915,888",tt0372237,"$35,000,000.00 ","$68,915,888.00 "
Sky High,2005,6.3,"95,433","Action, Comedy, Family","$63,946,815",tt0405325,"$35,000,000.00 ","$86,369,815.00 "
Serenity,2005,7.8,"306,849","Action, Adventure, Sci-Fi","$25,514,517",tt0379786,"$39,000,000.00 ","$38,869,464.00 "
Rent,2005,6.8,"56,061","Drama, Musical, Romance","$29,077,547",tt0294870,"$40,000,000.00 ","$31,670,620.00 "
Get Rich or Die Tryin',2005,5.5,"50,413","Biography, Crime, Drama","$30,985,352",tt0430308,"$40,000,000.00 ","$46,442,528.00 "
House of Wax,2005,5.5,"135,161","Horror, Thriller","$32,064,800",tt0397065,"$40,000,000.00 ","$68,766,121.00 "
Corpse Bride,2005,7.4,"301,221","Animation, Comedy, Drama","$53,401,527",tt0121164,"$40,000,000.00 ","$117,195,061.00 "
Sin City,2005,8.0,"796,178","Crime, Thriller","$74,103,820",tt0401792,"$40,000,000.00 ","$158,733,820.00 "
Wedding Crashers,2005,7.0,"378,014","Comedy, Romance","$209,273,411",tt0396269,"$40,000,000.00 ","$285,176,741.00 "
Lord of War,2005,7.6,"339,103","Crime, Drama","$24,149,632",tt0399295,"$42,000,000.00 ","$24,127,895.00 "
Elektra,2005,4.7,"98,228","Action, Adventure, Crime","$24,409,722",tt0357277,"$43,000,000.00 ","$56,681,566.00 "
The Skeleton Key,2005,6.5,"123,723","Drama, Horror, Mystery","$47,907,715",tt0397101,"$43,000,000.00 ","$91,974,818.00 "
Monster-in-Law,2005,5.6,"65,981","Comedy, Romance","$82,931,301",tt0369735,"$43,000,000.00 ","$154,749,918.00 "
Rebound,2005,5.1,"13,655","Comedy, Family, Sport","$16,809,014",tt0376108,"$45,000,000.00 ","$16,809,014.00 "
The Producers,2005,6.3,"44,910","Comedy, Crime, Musical","$19,398,532",tt0395251,"$45,000,000.00 ","$38,058,335.00 "
Unleashed,2005,7.0,"108,386","Action, Crime, Thriller","$24,537,621",tt0342258,"$45,000,000.00 ","$50,871,113.00 "
Kicking & Screaming,2005,5.6,"41,029","Comedy, Family, Romance","$52,842,724",tt0384642,"$45,000,000.00 ","$56,070,433.00 "
"Yours, Mine & Ours",2005,5.5,"30,430","Comedy, Family, Romance","$53,412,862",tt0443295,"$45,000,000.00 ","$72,028,752.00 "
Four Brothers,2005,6.8,"158,299","Action, Crime, Drama","$74,494,381",tt0430105,"$45,000,000.00 ","$92,374,674.00 "
Stay,2005,6.7,"86,493","Drama, Mystery, Thriller","$3,626,883",tt0371257,"$50,000,000.00 ","$8,342,132.00 "
Domino,2005,5.9,"69,564","Action, Biography, Crime","$10,169,202",tt0421054,"$50,000,000.00 ","$22,944,502.00 "
Oliver Twist,2005,6.8,"34,388","Crime, Drama","$2,080,321",tt0380599,"$50,000,000.00 ","$42,093,706.00 "
Into the Blue,2005,5.9,"80,093","Action, Adventure, Crime","$18,801,234",tt0378109,"$50,000,000.00 ","$44,434,439.00 "
