Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID
The Dark Knight,2008,9.0,"2,896,249","Action, Crime, Drama","$534,987,076",tt0468569
Inception,2010,8.8,"2,572,598","Action, Adventure, Sci-Fi","$292,587,330",tt1375666
Interstellar,2014,8.7,"2,126,853","Adventure, Drama, Sci-Fi","$188,020,017",tt0816692
The Departed,2006,8.5,"1,433,399","Crime, Drama, Thriller","$132,399,394",tt0407887
Whiplash,2014,8.5,"1,002,639","Drama, Music","$13,092,000",tt2582802
The Prestige,2006,8.5,"1,451,983","Drama, Mystery, Sci-Fi","$53,089,891",tt0482571
The Intouchables,2011,8.5,"935,390","Comedy, Drama","$10,198,820",tt1675434
Django Unchained,2012,8.5,"1,711,592","Comedy, Drama, Western","$162,805,434",tt1853728
WALL·E,2008,8.4,"1,210,308","Animation, Adventure, Family","$223,808,164",tt0910970
The Lives of Others,2006,8.4,"412,480","Drama, Mystery, Thriller","$11,286,112",tt0405094
Inglourious Basterds,2009,8.4,"1,600,312","Adventure, Drama, War","$120,540,719",tt0361748
The Dark Knight Rises,2012,8.4,"1,843,828","Action, Drama, Thriller","$448,149,584",tt1345836
3 Idiots,2009,8.4,"438,761","Comedy, Drama","$6,532,874",tt1187043
Toy Story 3,2010,8.3,"898,166","Animation, Adventure, Comedy","$415,004,880",tt0435761
The Hunt,2012,8.3,"367,181",Drama,"$613,308",tt2106476
Incendies,2010,8.3,"205,227","Drama, Mystery, War","$2,071,334",tt1255953
Up,2009,8.3,"1,136,130","Animation, Adventure, Comedy","$293,004,164",tt1049413
A Separation,2011,8.3,"259,785",Drama,"$7,099,055",tt1832382
Like Stars on Earth,2007,8.3,"207,890","Drama, Family","$1,223,869",tt0986264
Batman Begins,2005,8.2,"1,589,713","Action, Crime, Drama","$206,863,479",tt0372784
The Wolf of Wall Street,2013,8.2,"1,601,162","Biography, Comedy, Crime","$116,900,694",tt0993846
Shutter Island,2010,8.2,"1,475,140","Drama, Mystery, Thriller","$128,012,934",tt1130884
There Will Be Blood,2007,8.2,"644,594",Drama,"$40,222,514",tt0469494
Pan's Labyrinth,2006,8.2,"705,755","Drama, Fantasy, War","$37,646,380",tt0457430
No Country for Old Men,2007,8.2,"1,068,450","Crime, Drama, Thriller","$74,283,625",tt0477348
Prisoners,2013,8.2,"820,811","Crime, Drama, Mystery","$61,002,302",tt1392214
V for Vendetta,2005,8.1,"1,186,319","Action, Drama, Sci-Fi","$70,511,035",tt0434409
The Secret in Their Eyes,2009,8.2,"223,548","Drama, Mystery, Romance","$6,391,436",tt1305806
Inside Out,2015,8.1,"808,999","Animation, Adventure, Comedy","$356,921,711",tt2096673
Warrior,2011,8.1,"500,126","Action, Drama, Sport","$13,657,115",tt1291584
Gran Torino,2008,8.1,"819,741",Drama,"$148,095,302",tt1205489
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"957,211","Adventure, Family, Fantasy","$381,447,587",tt1201607
12 Years a Slave,2013,8.1,"745,725","Biography, Drama, History","$56,671,993",tt2024544
Mad Max: Fury Road,2015,8.1,"1,118,749","Action, Adventure, Sci-Fi","$154,280,290",tt1392190
The Grand Budapest Hotel,2014,8.1,"892,764","Adventure, Comedy, Crime","$59,301,324",tt2278388
Gone Girl,2014,8.1,"1,078,777","Drama, Mystery, Thriller","$167,767,189",tt2267998
Wild Tales,2014,8.1,"218,296","Comedy, Drama, Thriller","$3,106,530",tt3011894
Ratatouille,2007,8.1,"834,765","Animation, Adventure, Comedy","$206,445,654",tt0382932
Mary and Max,2009,8.1,"187,527","Animation, Comedy, Drama",N/A,tt0978762
Room,2015,8.1,"453,675","Drama, Thriller","$14,677,654",tt3170832
Spotlight,2015,8.1,"504,128","Biography, Crime, Drama","$45,055,776",tt1895587
Rush,2013,8.1,"516,847","Action, Biography, Drama","$26,947,624",tt1979320
Hachi: A Dog's Tale,2009,8.1,"314,219","Biography, Drama, Family",N/A,tt1028532
My Father and My Son,2005,8.2,"93,018","Drama, Family",N/A,tt0476735
Into the Wild,2007,8.1,"660,446","Adventure, Biography, Drama","$18,354,356",tt0758758
The Help,2011,8.1,"496,416",Drama,"$169,708,112",tt1454029
