IMDB ID,Title,Budget,Revenue,Year
tt0444653,Keeping Mum,"$169,000.00 ","$18,564,702.00 ",2005
tt0439182,Four Eyed Monsters,"$250,000.00 ","$245,000.00 ",2005
tt0436613,Murderball,"$300,000.00 ","$1,750,211.00 ",2005
tt0417385,Twelve and Holding,"$400,000.00 ","$95,687.00 ",2005
tt0393109,Brick,"$475,000.00 ","$3,919,254.00 ",2005
tt0421229,Mrs Palfrey at The Claremont,"$750,000.00 ","$1,720,953.00 ",2005
tt0451038,The Derby Stallion,"$750,000.00 ","$4,000,000.00 ",2005
tt0418110,Romanzo criminale,"$818,418.00 ","$4,851,244.00 ",2005
tt0414951,The Quiet,"$900,000.00 ","$381,420.00 ",2005
tt0424136,Hard Candy,"$950,000.00 ","$7,022,209.00 ",2005
tt0384286,Cry_Wolf,"$1,000,000.00 ","$10,047,674.00 ",2005
tt0407265,Transamerica,"$1,000,000.00 ","$13,350,369.00 ",2005
tt0416315,Wolf Creek,"$1,000,000.00 ","$27,762,648.00 ",2005
tt0357110,The Ballad of Jack and Rose,"$1,500,000.00 ","$712,294.00 ",2005
tt0367089,The Squid and the Whale,"$1,500,000.00 ","$11,098,131.00 ",2005
tt0439630,Tau man ji D,"$1,549,000.00 ","$7,096,000.00 ",2005
tt0387055,Batalla en el cielo,"$1,601,792.00 ","$253,527.00 ",2005
tt0476527,Bluffmaster!,"$1,823,152.00 ","$7,133,082.00 ",2005
tt0432047,Sarkar,"$1,900,000.00 ","$5,900,000.00 ",2005
tt0418753,Inside Deep Throat,"$2,000,000.00 ","$653,621.00 ",2005
tt0464665,Космос как предчувствие,"$2,000,000.00 ","$696,681.00 ",2005
tt0421238,The Proposition,"$2,000,000.00 ","$5,048,693.00 ",2005
tt0433387,Harsh Times,"$2,000,000.00 ","$5,967,038.00 ",2005
tt0453365,FC Venus,"$2,196,531.00 ","$2,411,594.00 ",2005
tt0409527,Shabd,"$2,500,000.00 ","$3,100,000.00 ",2005
tt0468565,Tsotsi,"$3,000,000.00 ","$9,879,971.00 ",2005
tt0425598,Dave Chappelle's Block Party,"$3,000,000.00 ","$11,718,595.00 ",2005
tt0348333,Waiting...,"$3,000,000.00 ","$18,637,690.00 ",2005
tt0415678,Бой с Тенью,"$3,500,000.00 ","$8,262,833.00 ",2005
tt0366780,Mirrormask,"$4,000,000.00 ","$866,999.00 ",2005
tt0432348,Saw II,"$4,000,000.00 ","$152,925,093.00 ",2005
tt0401815,Tamara,"$4,750,000.00 ","$206,871.00 ",2005
tt0450278,Hostel,"$4,800,000.00 ","$80,578,934.00 ",2005
tt0427954,ต้มยำกุ้ง,"$6,000,000.00 ","$27,165,581.00 ",2005
tt0457530,The Work and the Glory II: American Zion,"$6,500,000.00 ","$2,025,032.00 ",2005
tt0427944,Thank You for Smoking,"$6,500,000.00 ","$24,793,509.00 ",2005
tt0404030,Everything is Illuminated,"$7,000,000.00 ","$2,697,930.00 ",2005
tt0379725,Capote,"$7,000,000.00 ","$49,084,830.00 ",2005
tt0433383,"Good Night, and Good Luck.","$7,000,000.00 ","$54,600,000.00 ",2005
tt0290747,Man-Thing,"$7,500,000.00 ","$143,000.00 ",2005
tt0437447,千里走单骑,"$7,500,000.00 ","$3,752,325.00 ",2005
tt0398027,Down in the Valley,"$8,000,000.00 ","$852,872.00 ",2005
tt0460505,Maurice Richard,"$8,000,000.00 ","$2,019,009.00 ",2005
tt0410097,Hustle & Flow,"$8,000,000.00 ","$23,563,727.00 ",2005
tt0428803,La Marche de l'empereur,"$8,000,000.00 ","$127,392,239.00 ",2005
tt0434424,Undiscovered,"$9,000,000.00 ","$1,046,166.00 ",2005
tt0417397,9 рота,"$9,500,000.00 ","$24,000,000.00 ",2005
tt0343996,The Lost City,"$9,600,000.00 ","$4,386,236.00 ",2005
tt0365485,The Matador,"$10,000,000.00 ","$17,297,244.00 ",2005
tt0412019,Broken Flowers,"$10,000,000.00 ","$45,742,101.00 ",2005
tt0375210,White Noise,"$10,000,000.00 ","$91,196,419.00 ",2005
tt0338427,Shopgirl,"$10,284,523.00 ","$11,588,205.00 ",2005
tt0392465,Mozart and the Whale,"$12,000,000.00 ","$84,967.00 ",2005
tt0410764,Tideland,"$12,000,000.00 ","$566,611.00 ",2005
tt0409184,Les Poupées Russes,"$13,000,000.00 ","$23,727,301.00 ",2005
tt0387059,Bee Season,"$14,000,000.00 ","$6,856,989.00 ",2005
tt0317132,Because of Winn-Dixie,"$14,000,000.00 ","$32,645,546.00 ",2005
tt0388795,Brokeback Mountain,"$14,000,000.00 ","$178,043,761.00 ",2005
tt0342735,Manderlay,"$14,200,000.00 ","$674,918.00 ",2005
tt0419294,The Three Burials of Melquiades Estrada,"$15,000,000.00 ","$12,036,149.00 ",2005
tt0373469,Kiss Kiss Bang Bang,"$15,000,000.00 ","$15,785,148.00 ",2005
tt0418819,Land of the Dead,"$15,000,000.00 ","$46,770,602.00 ",2005
